Network,Title ,Genre,"Shows/Films with Latino Lead and/or co-lead 
Actors/Actresses 0=no 1=yes",Names of Latino Lead Actors/Actresses,"Latino ""Showrunner/Lead Writer""? no= 0 yes=1",Names of Latino lead writers/show runners ,Latino Directors? 0= no or 1,Names of Latino Directors ,,,,,,
AMC,The Terror: Infamy,Drama,0,,0,,0,,,,,,,
History,The Unxplained,Alternative,0,,0,,n/a,,,,,,,
NBC,The Wall,Alternative,0,,0,,0,,,,,,,
Investigation Discovery,The Wonderland Murders,Alternative,0,,0,,n/a,,,,,,,
Amazon,This Is Football ,Docu-series,0,,0,,0,,,,,,,
Comedy Central,This Week At the Comedy Cellar,Comedy,0,,0,,0,,,,,,,
Netflix,Tiffany Hadish Presents: They Ready,Comedy,0,,0,,0,,,,,,,
Investigation Discovery,Til Death Do Us Part ,Drama,0,,0,,n/a,,,,,,,
OWN,TO HAVE & TO HOLD: CHARLOTTE,reality ,0,,0,,0,,,,,,,
ABC,To Tell the Truth,Alternative,0,,0,,0,,,,,,,
Amazon,Too Old to Die Young,Drama,1,Augusto Aguilera,0,,0,,,,,,,
Netflix ,Trinkets,Drama,0,,0,,0,,,,,,,
Discovery,Truth Behind the Moon Landing,Docu-series,0,,0,,n/a,,,,,,,
Netflix,Tuca & Bertie,Comedy,0,,0,,0,,,,,,,
Investigation Discovery,Twisted Sisters,Drama,0,,0,,n/a,,,,,,,
CW,Two Sentence Horror Stories,Drama,0,,0,,0,,,,,,,
Travel Channel,UFOs: The Lost Evidence ,"Docu-series
",0,,0,,n/a,,,,,,,
DISCOVERY CHANNEL,Undercover Billionaire ,Alternative,0,,0,,n/a,,,,,,,
TLC,Unexpected,Alternative,1,"Chole Mendoza, Diego Reyes",0,,n/a,,,,,,,
History,Unidentified: Inside America's UFO Investigation,Docu-series,0,,0,,n/a,,,,,,,
 HGTV,UNSPOUSE MY HOUSE ,Alternative,0,,0,,n/a,,,,,,,
Hulu,Veronica Mars,Drama,0,,0,,1,,,,,,,
Starz,Vida,Drama,1,"Melissa Barrera, Mishel Prada",1,,1,,,,,,,
Food Network,Wedding Cake Championship,Alternative ,0,,0,,n/a,,,,,,,
FOX,What Just Happened??! With Fred Savage,Alternative,0,,0,,0,,,,,,,
ABC,What Would You Do?,Alternative,1,"John Quiñones (San Antonio, TX)",0,,0,,,,,,,
Netflix,What/If,Drama,1,Juan Castano ,0,,1,,,,,,,
Hallmark,WHEN CALLS THE HEART,Drama,0,,0,,0,,,,,,,
Netflix,When They See Us,Drama,0,,0,,0,,,,,,,
CBS,WHISTLEBLOWER,Docu-series,1,Alex Ferrer (Cuba),1,,n/a,,,,,,,
CW,Whose Line Is It Anyway?,Alternative,0,,0,,0,,,,,,,
Food Network,Worst Bakers in America Season 2 ,Alternative ,0,,0,,n/a,,,,,,,
Food Network,Worst Cooks in America,Alternative ,0,,0,,n/a,,,,,,,
Netflix ,Wu Assassins,Drama,0,,0,,0,,,,,,,
Showtime,Wu-Tang: Of Mics and Men,Docu-series,0,,0,,0,,,,,,,
Paramount,Yellowstone,Drama,0,,0,,0,,,,,,,
NATIONAL GEOGRAPHIC,Yellowstone Live,Docu-series,0,,0,,0,,,,,,,
